surface_form	normalized_form	segmentation	alt_segmentations	gloss	lemma	alt_lemmas	pos	alt_pos	confidence	first_verse	frequency	review_reasons	status
sunim	sunim	su-nim		bruise-enmity	su		UNK		high	01003015	2	pos_unknown	auto_resolved
gimpi-in	gimpi-in	gim-pi-in		sorrow-big-INST	gim		UNK		high	01003017	2	pos_unknown	auto_resolved
Mehujael	mehujael	Mehujael'	Mehujael	MEHUJAEL.POSS	mehujael	Mehujael	UNK	PROP	high	01004018	2	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	auto_resolved
Methushael	methushael	Methushael'	Methushael	METHUSHAEL.POSS	methushael	Methushael	UNK	PROP	high	01004018	2	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	auto_resolved
Tubalkain	tubalkain	Tubalkain	Tubalkain'	TUBALKAIN	Tubalkain	tubalkain	PROP	UNK	high	01004022	2	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	auto_resolved
kiamkiam	kiamkiam	kiam~kiam		abate~REDUP	kiam~kiam		UNK		high	01008003	2	pos_unknown	auto_resolved
petin	petin	pet-in		pluck-leaf	pet		UNK		high	01008011	2	pos_unknown	auto_resolved
(Filistia	(filistia	Filistia		FILISTIA	filistia		UNK		high	01010014	2	pos_unknown	auto_resolved
lal	lal	lal		plain	lal		UNK		high	01011002	2	pos_unknown	auto_resolved
buppi-ah	buppi-ah	bup-pi-ah		all-big-LOC	bup		UNK		high	01011004	2	pos_unknown	auto_resolved
tausangpi	tausangpi	tausangpi	Tausangpi	tower	tausangpi		N		high	01011005	2	multi_segmentation:2	auto_resolved
Haran-a	haran-a	haran-a		HARAN-LOC	haran		UNK		high	01012005	2	pos_unknown	auto_resolved
latal	latal	latal		he.ass	latal		UNK		high	01012016	2	pos_unknown	auto_resolved
tawsawte	tawsawte	taw-saw-te		plain-oak-PL	taw		UNK		high	01013018	2	pos_unknown	auto_resolved
(Zoar)	(zoar)	Zoar		ZOAR	zoar		UNK		high	01014002	2	pos_unknown	auto_resolved
Ela	ela	Ela	Ela'	ELA	Ela	ela	PROP	UNK	high	01014009	2	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	auto_resolved
(Kumpipa	(kumpipa	Kumpipa'	kumpi-pa	king.POSS	kumpipa	kumpi	N		high	01014017	2	multi_segmentation:2|multi_lemma:2	auto_resolved
bawngnawi-thaukhal	bawngnawi-thaukhal	bawngnawi-thaukhal		butter-cream	bawngnawi		UNK		high	01018008	2	pos_unknown	auto_resolved
nui-in	nui-in	nui-in		laugh-INST	nui		UNK		high	01018012	2	pos_unknown	auto_resolved
“Sodom	“sodom	Sodom		SODOM	sodom		UNK		high	01018020	2	pos_unknown	auto_resolved
luk	luk	luk		bring.out	luk		UNK		high	01019005	2	pos_unknown	auto_resolved
Zoar-ah	zoar-ah	zoar-ah		ZOAR-LOC	zoar		UNK		high	01019023	2	pos_unknown	auto_resolved
daptakin	daptakin	dap-tak-in		peace-true-INST	dap		UNK		high	01024021	2	pos_unknown	auto_resolved
“Nahor	“nahor	Nahor	Nahor'	NAHOR	nahor		UNK		high	01024024	2	multi_segmentation:2|pos_unknown	auto_resolved
nene	nene	ne~ne		eat~REDUP	ne~ne		UNK		high	01025028	2	pos_unknown	auto_resolved
phukhong	phukhong	phu-khong		sod-pottage	phu		UNK		high	01025029	2	pos_unknown	auto_resolved
ciangin,”	ciangin,”	ciang-in		then-ERG	ciang		UNK		high	01026007	2	pos_unknown	auto_resolved
hucipin	hucipin	hu-cip-in		stop-INTENS-INST	hu		UNK		high	01026015	2	pos_unknown	auto_resolved
Beeri	beeri	Beeri'		BEERI.POSS	beeri		UNK		high	01026034	2	pos_unknown	auto_resolved
“Esau	“esau	Esau'	Esau	ESAU.POSS	esau		UNK		high	01027046	2	multi_segmentation:2|pos_unknown	auto_resolved
(Laban	(laban	Laban		LABAN	laban		UNK		high	01029024	2	pos_unknown	auto_resolved
keelpi	keelpi	keelpi		she.goat	keelpi		UNK		high	01030035	2	pos_unknown	auto_resolved
poplar	poplar	poplar		poplar	poplar		UNK		high	01030037	2	pos_unknown	auto_resolved
tuupi	tuupi	tuu-pi		sheep-great	tuu		UNK		high	01031038	2	pos_unknown	auto_resolved
naudom	naudom	naudom	Naudom	childbirth	naudom		N		high	01035017	2	multi_segmentation:2	auto_resolved
(Bethlehem)	(bethlehem)	Bethlehem		BETHLEHEM	bethlehem		UNK		high	01035019	2	pos_unknown	auto_resolved
(Edom)	(edom)	Edom		EDOM	edom		UNK		high	01036001	2	pos_unknown	auto_resolved
Bedad	bedad	Bedad'		BEDAD.POSS	bedad		UNK		high	01036035	2	pos_unknown	auto_resolved
Mezahab	mezahab	Mezahab'		MEZAHAB.POSS	mezahab		UNK		high	01036039	2	pos_unknown	auto_resolved
lingsi	lingsi	lingsi		balm	lingsi		UNK		high	01037025	2	pos_unknown	auto_resolved
Potifar	potifar	Potifar'	Potifar	POTIFAR.POSS	potifar	Potifar	UNK	PROP	high	01037036	2	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	auto_resolved
Shua	shua	Shua'		SHUA.POSS	shua		UNK		high	01038002	2	pos_unknown	auto_resolved
khausan	khausan	khau-san		thread-scarlet	khau		UNK		high	01038028	2	pos_unknown	auto_resolved
kiatin	kiatin	kiat-in		release-ERG	kiat		UNK		high	01041014	2	pos_unknown	auto_resolved
tunkim	tunkim	tun-kim		store-all	tun		UNK		high	01041056	2	pos_unknown	auto_resolved
ipte	ipte	ip-te		sack-PL	ip		UNK		high	01042025	2	pos_unknown	auto_resolved
“Paikik	“paikik	Paikik		PAIKIK	paikik		UNK		high	01043002	2	pos_unknown	auto_resolved
kikoihte	kikoihte	kikoihte'	kikoih-te	restore-PL.POSS	kikoihte	kikoih	UNK	V	high	01043018	2	multi_segmentation:2|multi_lemma:2|multi_pos:UNK|V|pos_unknown	auto_resolved
Goshen-ah	goshen-ah	goshen-ah		GOSHEN-LOC	goshen		UNK		high	01046028	2	pos_unknown	auto_resolved
Faro-a	faro-a	Faro-a'		FARO-A.POSS	faro		UNK		high	01047020	2	pos_unknown	auto_resolved
Luz-ah	luz-ah	luz-ah		LUZ-LOC	luz		UNK		high	01048003	2	pos_unknown	auto_resolved
“Reuben	“reuben	Reuben		REUBEN	reuben		UNK		high	01049003	2	pos_unknown	auto_resolved
“Zebulun	“zebulun	Zebulun		ZEBULUN	zebulun		UNK		high	01049013	2	pos_unknown	auto_resolved
“Dan	“dan	Dan		DAN	dan		UNK		high	01049016	2	pos_unknown	auto_resolved
“Asher	“asher	Asher'	Asher	ASHER.POSS	asher		UNK		high	01049020	2	multi_segmentation:2|pos_unknown	auto_resolved
(Israel	(israel	Israel		ISRAEL	israel		UNK		high	01049024	2	pos_unknown	auto_resolved
leikhop	leikhop	lei-khop		earth-twelve	lei		UNK		high	01049028	2	pos_unknown	auto_resolved
Atad	atad	Atad'		ATAD.POSS	atad		UNK		high	01050010	2	pos_unknown	auto_resolved
domin	domin	dom-in		go-ERG	dom		UNK		high	02001016	2	pos_unknown	auto_resolved
phaikungte	phaikungte	phai-kung-te		bulrush-PL	phai		UNK		high	02002003	2	pos_unknown	auto_resolved
“Oh	“oh	Oh		OH	oh		UNK		high	02004010	2	pos_unknown	auto_resolved
kikhiam	kikhiam	ki-khiam		REFL-diminish	khiam		UNK		high	02005011	2	pos_unknown	auto_resolved
Hebru-te	hebru-te	Hebru-te'		HEBRU-TE.POSS	hebru		UNK		high	02007016	2	pos_unknown	auto_resolved
lomlomin	lomlomin	lom-lom-in		heap-REDUP-INST	lom		UNK		high	02008014	2	pos_unknown	auto_resolved
thokangte	thokangte	tho-kang-te		magician-PL	tho		UNK		high	02008018	2	pos_unknown	auto_resolved
“Zingsangin	“zingsangin	Zingsangin		ZINGSANGIN	zingsangin		UNK		high	02008020	2	pos_unknown	auto_resolved
thote	thote	tho-te'	tho-te	rise-PL.POSS	tho		UNK		high	02008024	2	multi_segmentation:2|pos_unknown	auto_resolved
vuih	vuih	vuih		boll	vuih		UNK		high	02009031	2	pos_unknown	auto_resolved
